Category title,Sub-category title,Class title,Sub-class title,Title names,Link items,Item description,Item tech,Item information
Thiết bị chiếu sáng,Chiếu sáng dân dụng,Bộ đèn,Led downlight,Led eco downlight life Ledvance AC283280055 6w,https://super-mro.com/san-pham/1a9787-led-eco-downlight-life-ledvance-ac283280055-6w.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Ledvance là những hãng sản xuất thiết bị công nghiệp, Led downlight nổi tiếng Việt Nam và thế giới., Led eco downlight life Ledvance AC283280055 6w là sản phẩm nổi tiếng của hãng Ledvance, bạn có thể mua Led eco downlight life Ledvance AC283280055 6w giá rẻ nhất tại Super-mro chỉ với 96,800đ/Chiếc","['Mã sản phẩm (IC):AC283280055', 'Công suất (W):6', 'Quang thông (lm):600', 'Tuổi thọ:20000h', 'Màu sắc ánh sáng (K):4000K', 'Điện áp đầu vào (V):220-240V']","['Thương hiệu: Ledvance', 'Mã hệ thống: 1A9787', 'Model hãng: AC283280055', 'Đơn vị: Chiếc']"
Thiết bị chiếu sáng,Chiếu sáng dân dụng,Bộ đèn,Led downlight,Led eco downlight life Ledvance AC283570055 8w,https://super-mro.com/san-pham/1a9824-led-eco-downlight-life-ledvance-ac283570055-8w.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Ledvance là những hãng sản xuất thiết bị công nghiệp, Led downlight nổi tiếng Việt Nam và thế giới., Led eco downlight life Ledvance AC283570055 8w là sản phẩm nổi tiếng của hãng Ledvance, bạn có thể mua Led eco downlight life Ledvance AC283570055 8w giá rẻ nhất tại Super-mro chỉ với Liên hệ/Chiếc","['Mã sản phẩm (IC):AC283570055', 'Công suất (W):8', 'Quang thông (lm):570', 'Tuổi thọ:20000h', 'Màu sắc ánh sáng (K):5000K', 'Điện áp đầu vào (V):220-240V', 'Kích thước:115mm – 115mm']","['Thương hiệu: Ledvance', 'Mã hệ thống: 1A9824', 'Model hãng: AC283570055', 'Đơn vị: Chiếc']"
Thiết bị chiếu sáng,Chiếu sáng chuyên dụng,Led chiếu điểm (spotlight),,Đèn Led Spotlight Low URG Round hole version Ledvance AC131030155 7w,https://super-mro.com/san-pham/1a9988-den-led-spotlight-low-urg-round-hole-version-ledvance-ac131030155-7w.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Ledvance là những hãng sản xuất thiết bị công nghiệp, Led chiếu điểm (spotlight) nổi tiếng Việt Nam và thế giới., Đèn Led Spotlight Low URG Round hole version Ledvance AC131030155 7w là sản phẩm nổi tiếng của hãng Ledvance, bạn có thể mua Đèn Led Spotlight Low URG Round hole version Ledvance AC131030155 7w giá rẻ nhất tại Super-mro chỉ với Liên hệ/Chiếc","['Mã sản phẩm (IC):AC131030155', 'Công suất (W):7', 'Quang thông (lm):420', 'Hệ số công suất (PF):0.9', 'Tuổi thọ (giờ ):30000h', 'Màu sắc ánh sáng (K):2700K', 'Chỉ số hoàn mầu (Ra):80', 'Điện áp đầu vào (V):220-240V', 'Góc chiếu ( độ ):15°/24°/36°', 'Lỗ khoét trần (mm):77', 'Kích thước (mm):85']","['Thương hiệu: Ledvance', 'Mã hệ thống: 1A9988', 'Model hãng: AC131030155', 'Đơn vị: Chiếc']"
Thiết bị chiếu sáng,Chiếu sáng chuyên dụng,Led batten,,Đèn Led T5 Batten HE Ledvance AC235750055 13w,https://super-mro.com/san-pham/1b0014-den-led-t5-batten-he-ledvance-ac235750055-13w.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Ledvance là những hãng sản xuất thiết bị công nghiệp, Led batten nổi tiếng Việt Nam và thế giới., Đèn Led T5 Batten HE Ledvance AC235750055 13w là sản phẩm nổi tiếng của hãng Ledvance, bạn có thể mua Đèn Led T5 Batten HE Ledvance AC235750055 13w giá rẻ nhất tại Super-mro chỉ với Liên hệ/Chiếc","['Mã sản phẩm (IC):AC235750055', 'Công suất (W):13', 'Quang thông (lm):1300', 'Hệ số công suất (PF):0.9', 'Tuổi thọ (giờ ):20000h', 'Màu sắc ánh sáng (K):4000K', 'Chỉ số hoàn mầu (Ra):80', 'Điện áp đầu vào (V):220-240V', 'Kích thước (mm):1,185 x 22.2 x 32.5 (mm)']","['Thương hiệu: Ledvance', 'Mã hệ thống: 1B0014', 'Model hãng: AC235750055', 'Đơn vị: Chiếc']"
Thiết bị chiếu sáng,Chiếu sáng dân dụng,Bộ đèn,Led downlight,Led eco downlight life Ledvance AC283290055 6w,https://super-mro.com/san-pham/1a9788-led-eco-downlight-life-ledvance-ac283290055-6w.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Ledvance là những hãng sản xuất thiết bị công nghiệp, Led downlight nổi tiếng Việt Nam và thế giới., Led eco downlight life Ledvance AC283290055 6w là sản phẩm nổi tiếng của hãng Ledvance, bạn có thể mua Led eco downlight life Ledvance AC283290055 6w giá rẻ nhất tại Super-mro chỉ với 96,800đ/Chiếc","['Mã sản phẩm (IC):AC283290055', 'Công suất (W):6', 'Quang thông (lm):600', 'Tuổi thọ:20000h', 'Màu sắc ánh sáng (K):5000K', 'Điện áp đầu vào (V):220-240V']","['Thương hiệu: Ledvance', 'Mã hệ thống: 1A9788', 'Model hãng: AC283290055', 'Đơn vị: Chiếc']"
Thiết bị chiếu sáng,Chiếu sáng dân dụng,Bộ đèn,Led downlight,Led eco downlight life Ledvance AC283330055 8w,https://super-mro.com/san-pham/1b0015-den-led-t5-batten-he-ledvance-ac235760055-13w.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Ledvance là những hãng sản xuất thiết bị công nghiệp, Led downlight nổi tiếng Việt Nam và thế giới., Led eco downlight life Ledvance AC283330055 8w là sản phẩm nổi tiếng của hãng Ledvance, bạn có thể mua Led eco downlight life Ledvance AC283330055 8w giá rẻ nhất tại Super-mro chỉ với Liên hệ/Chiếc","['Mã sản phẩm (IC):AC283330055', 'Công suất (W):8', 'Quang thông (lm):570', 'Tuổi thọ:20000h', 'Màu sắc ánh sáng (K):5000K', 'Điện áp đầu vào (V):220-240V', 'Kích thước:115mm – 35mm']","['Thương hiệu: Ledvance', 'Mã hệ thống: 1A9804', 'Model hãng: AC283330055', 'Đơn vị: Chiếc']"
Thiết bị chiếu sáng,Chiếu sáng chuyên dụng,Led batten,,Đèn Led T5 Batten HE Ledvance AC235760055 13w,https://super-mro.com/san-pham/1a9804-led-eco-downlight-life-ledvance-ac283330055-8w.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Ledvance là những hãng sản xuất thiết bị công nghiệp, Led batten nổi tiếng Việt Nam và thế giới., Đèn Led T5 Batten HE Ledvance AC235760055 13w là sản phẩm nổi tiếng của hãng Ledvance, bạn có thể mua Đèn Led T5 Batten HE Ledvance AC235760055 13w giá rẻ nhất tại Super-mro chỉ với Liên hệ/Chiếc","['Mã sản phẩm (IC):AC235760055', 'Công suất (W):13', 'Quang thông (lm):1300', 'Hệ số công suất (PF):0.9', 'Tuổi thọ (giờ ):20000h', 'Màu sắc ánh sáng (K):6500K', 'Chỉ số hoàn mầu (Ra):80', 'Điện áp đầu vào (V):220-240V', 'Kích thước (mm):1,185 x 22.2 x 32.5 (mm)']","['Thương hiệu: Ledvance', 'Mã hệ thống: 1B0015', 'Model hãng: AC235760055', 'Đơn vị: Chiếc']"
Thiết bị chiếu sáng,Chiếu sáng dân dụng,Bộ đèn,Led downlight,Led eco downlight life Ledvance AC284220055 4w,https://super-mro.com/san-pham/1a9797-led-eco-downlight-life-ledvance-ac284220055-4w.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Ledvance là những hãng sản xuất thiết bị công nghiệp, Led downlight nổi tiếng Việt Nam và thế giới., Led eco downlight life Ledvance AC284220055 4w là sản phẩm nổi tiếng của hãng Ledvance, bạn có thể mua Led eco downlight life Ledvance AC284220055 4w giá rẻ nhất tại Super-mro chỉ với Liên hệ/Chiếc","['Mã sản phẩm (IC):AC284220055', 'Công suất (W):4', 'Quang thông (lm):280', 'Tuổi thọ:20000h', 'Màu sắc ánh sáng (K):6500K', 'Điện áp đầu vào (V):220-240V', 'Kích thước:90mm – 33mm']","['Thương hiệu: Ledvance', 'Mã hệ thống: 1A9797', 'Model hãng: AC284220055', 'Đơn vị: Chiếc']"
Thiết bị chiếu sáng,Chiếu sáng dân dụng,Bộ đèn,Led downlight,Led eco downlight life Ledvance AC283300055 6w,https://super-mro.com/san-pham/1a9789-led-eco-downlight-life-ledvance-ac283300055-6w.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Ledvance là những hãng sản xuất thiết bị công nghiệp, Led downlight nổi tiếng Việt Nam và thế giới., Led eco downlight life Ledvance AC283300055 6w là sản phẩm nổi tiếng của hãng Ledvance, bạn có thể mua Led eco downlight life Ledvance AC283300055 6w giá rẻ nhất tại Super-mro chỉ với 96,800đ/Chiếc","['Mã sản phẩm (IC):AC283300055', 'Công suất (W):6', 'Quang thông (lm):600', 'Tuổi thọ:20000h', 'Màu sắc ánh sáng (K):6500K', 'Điện áp đầu vào (V):220-240V']","['Thương hiệu: Ledvance', 'Mã hệ thống: 1A9789', 'Model hãng: AC283300055', 'Đơn vị: Chiếc']"
Thiết bị chiếu sáng,Chiếu sáng dân dụng,Bộ đèn,Led downlight,Led eco downlight life Ledvance AC283580055 8w,https://super-mro.com/san-pham/1a9825-led-eco-downlight-life-ledvance-ac283580055-8w.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Ledvance là những hãng sản xuất thiết bị công nghiệp, Led downlight nổi tiếng Việt Nam và thế giới., Led eco downlight life Ledvance AC283580055 8w là sản phẩm nổi tiếng của hãng Ledvance, bạn có thể mua Led eco downlight life Ledvance AC283580055 8w giá rẻ nhất tại Super-mro chỉ với Liên hệ/Chiếc","['Mã sản phẩm (IC):AC283580055', 'Công suất (W):8', 'Quang thông (lm):570', 'Tuổi thọ:20000h', 'Màu sắc ánh sáng (K):6500K', 'Điện áp đầu vào (V):220-240V', 'Kích thước:115mm – 115mm']","['Thương hiệu: Ledvance', 'Mã hệ thống: 1A9825', 'Model hãng: AC283580055', 'Đơn vị: Chiếc']"
