Category title,Sub-category title,Class title,Sub-class title,Title names,Link items,Item description,Item tech,Item information
Thiết bị đo,Dụng cụ đo cơ khí,Dưỡng đo,,Dưỡng đo bán kính R Insize 4801-15,https://super-mro.com/san-pham/may-do-dien-tro-dat-fluke-1630.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Kyoritsu, Mitutoyo, Niigata Seiki, Khác, Insize, ISSOKU là những hãng sản xuất thiết bị công nghiệp, Dưỡng đo nổi tiếng Việt Nam và thế giới., Dưỡng đo bán kính R Insize 4801-15 là sản phẩm nổi tiếng của hãng Insize, bạn có thể mua Dưỡng đo bán kính R Insize 4801-15 giá rẻ nhất tại Super-mro chỉ với 194,700đ/Chiếc","['Chất liệu:thép các-bon trung bình', 'Dải đo:15,5-25mm', 'Số lá:15', 'Thành phần:Bán kính từng lá (mm): 15,5, 16, 16,5, 17, 17,5, 18, 18,5, 19, 19,5, 20, 21, 22, 23, 24, 25', 'Hệ ren:mm']","['Thương hiệu: Insize', 'Mã hệ thống: 1E126', 'Model hãng: 4801-15', 'Đơn vị: Chiếc']"
Thiết bị đo,Đo kiểm tra điện,Thiết bị đo điện trở,,Máy đo điện trở đất Fluke 1630,https://super-mro.com/san-pham/1e126-duong-do-ban-kinh-r-insize-4801-15.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Kyoritsu, Sanwa, Hioki, FLUKE là những hãng sản xuất thiết bị công nghiệp, Thiết bị đo điện trở nổi tiếng Việt Nam và thế giới., Máy đo điện trở đất Fluke 1630 là sản phẩm nổi tiếng của hãng FLUKE, bạn có thể mua Máy đo điện trở đất Fluke 1630 giá rẻ nhất tại Super-mro chỉ với Liên hệ/Cái",['Điện áp thử:1000 V'],"['Thương hiệu: FLUKE', 'Mã hệ thống: 1B0507', 'Model hãng: Fluke-1630', 'Đơn vị: Cái']"
Thiết bị đo,Dụng cụ đo cơ khí,Thước đo khe hở,,"Thước lá Insize 7110-500 500mm/20""",https://super-mro.com/san-pham/1b0642-thuoc-la-insize-7110-500-500mm-20inch.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Asaki, Stanley, Kingtony, Toptul, Mitutoyo, S&G, Niigata Seiki, Shinwa, Insize, Sata, Tajima là những hãng sản xuất thiết bị công nghiệp, Thước đo khe hở nổi tiếng Việt Nam và thế giới., Thước lá Insize 7110-500 500mm/20"" là sản phẩm nổi tiếng của hãng Insize, bạn có thể mua Thước lá Insize 7110-500 500mm/20"" giá rẻ nhất tại Super-mro chỉ với 119,900đ/Chiếc","['Bề dày lá:1,2mm', 'Độ chính xác:0,15mm', 'Chiều dài:530mm', 'Khoảng đo:0-50cm', 'Bước đo:- 0-10cm : 0,05cm - 10-50cm : 0,1cm']","['Thương hiệu: Insize', 'Mã hệ thống: 1B0642', 'Model hãng: 7110-500', 'Đơn vị: Chiếc']"
Thiết bị đo,Dụng cụ đo cơ khí,Dưỡng đo,,Dưỡng chuẩn kiểm ren Mitutoyo 188-151,https://super-mro.com/san-pham/q9b03-duong-chuan-kiem-ren-mitutoyo-188-151.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Kyoritsu, Mitutoyo, Niigata Seiki, Khác, Insize, ISSOKU là những hãng sản xuất thiết bị công nghiệp, Dưỡng đo nổi tiếng Việt Nam và thế giới., Dưỡng chuẩn kiểm ren Mitutoyo 188-151 là sản phẩm nổi tiếng của hãng Mitutoyo, bạn có thể mua Dưỡng chuẩn kiểm ren Mitutoyo 188-151 giá rẻ nhất tại Super-mro chỉ với 836,000đ/Chiếc","['Đặc điểm:Dùng để đo bán kính lồi, lõm của các góc cạnh bo tròn trong ngành cơ khí, chế tạo, đo kiểm…', 'Số lá:51', 'Kích thước:25x95x20mm', 'Trọng lượng:95g', 'Khoảng đo:0,4-7mm/4-42TPI']","['Thương hiệu: Mitutoyo', 'Mã hệ thống: Q9B03', 'Model hãng: 188-151', 'Đơn vị: Chiếc']"
Thiết bị đo,Dụng cụ đo cơ khí,Thước đo góc,,Thước đo góc vuông mỏng với đế rộng Insize 4792-200,https://super-mro.com/san-pham/1e202-thuoc-do-goc-vuong-mong-voi-de-rong-insize-4792-200.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Asaki, Mitutoyo, Insize là những hãng sản xuất thiết bị công nghiệp, Thước đo góc nổi tiếng Việt Nam và thế giới., Thước đo góc vuông mỏng với đế rộng Insize 4792-200 là sản phẩm nổi tiếng của hãng Insize, bạn có thể mua Thước đo góc vuông mỏng với đế rộng Insize 4792-200 giá rẻ nhất tại Super-mro chỉ với 1,937,100đ/Chiếc",['Khoảng đo:200x130mm'],"['Thương hiệu: Insize', 'Mã hệ thống: 1E202', 'Model hãng: 4792-200', 'Đơn vị: Chiếc']"
Thiết bị đo,Dụng cụ đo cơ khí,Đồng hồ so và phụ kiện,Đồng hồ so,Đồng hồ so kiểu cơ Insize 2308-10A,https://super-mro.com/san-pham/1e096-dong-ho-so-kieu-co-insize-2308-10a.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Mitutoyo, Insize là những hãng sản xuất thiết bị công nghiệp, Đồng hồ so nổi tiếng Việt Nam và thế giới., Đồng hồ so kiểu cơ Insize 2308-10A là sản phẩm nổi tiếng của hãng Insize, bạn có thể mua Đồng hồ so kiểu cơ Insize 2308-10A giá rẻ nhất tại Super-mro chỉ với 470,800đ/Chiếc",['Dải đo:10mm'],"['Thương hiệu: Insize', 'Mã hệ thống: 1E096', 'Model hãng: 2308-10A', 'Đơn vị: Chiếc']"
Thiết bị đo,Dụng cụ đo cơ khí,Thước ê ke,,Eke vuông 90 độ Insize 4790-0250,https://super-mro.com/san-pham/1e183-eke-vuong-90-do-insize-4790-0250.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Asaki, Insize, Sata là những hãng sản xuất thiết bị công nghiệp, Thước ê ke nổi tiếng Việt Nam và thế giới., Eke vuông 90 độ Insize 4790-0250 là sản phẩm nổi tiếng của hãng Insize, bạn có thể mua Eke vuông 90 độ Insize 4790-0250 giá rẻ nhất tại Super-mro chỉ với 2,575,100đ/Chiếc",['Khổ thước:200x130mm'],"['Thương hiệu: Insize', 'Mã hệ thống: 1E183', 'Model hãng: 4790-0250', 'Đơn vị: Chiếc']"
Thiết bị đo,Đo kiểm tra điện,Ampe kìm,,Ampe kìm đo dòng Hioki 3280-10F,https://super-mro.com/san-pham/sp000587-ampe-kim-do-dong-hioki-3280-10f.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Kyoritsu, Sanwa, Hioki, FLUKE là những hãng sản xuất thiết bị công nghiệp, Ampe kìm nổi tiếng Việt Nam và thế giới., Ampe kìm đo dòng Hioki 3280-10F là sản phẩm nổi tiếng của hãng Hioki, bạn có thể mua Ampe kìm đo dòng Hioki 3280-10F giá rẻ nhất tại Super-mro chỉ với 1,259,500đ/Chiếc","['AC A:42.00 A/420,0 A/1000 A (± 1,5% RDG. ± 5)', 'AC V:4.200 V đến 600 V, 4 dãy (± 1,8% rdg. dgt ± 7). Từ 50-60 Hz:', 'DC V:420,0 mV đến 600 V, 5 dãy (± 1,0% rdg. dgt ± 3). Từ 45 Hz đến 500 Hz', 'Đường kính kìm đo:φ33 mm (1.30 “)', 'Điện trở:420,0 Ω đến 42,00 MΩ, 6 dãy (± 2,0% rdg. dgt ± 4).', 'Nguồn cấp:CR2032 x 1', 'Kích thước:57W × 175H × 16D mm (2.24 “W x 6.89” H × 0,63 “D), 100 g (3.5 oz.)']","['Thương hiệu: Hioki', 'Mã hệ thống: SP000587', 'Model hãng: 3280-10F', 'Đơn vị: Chiếc']"
Thiết bị đo,Dụng cụ đo cơ khí,Thước đo góc,,Thước đo góc vuông mỏng với đế rộng Insize 4793-300,https://super-mro.com/san-pham/1e197-thuoc-do-goc-vuong-mong-voi-de-rong-insize-4793-300.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Asaki, Mitutoyo, Insize là những hãng sản xuất thiết bị công nghiệp, Thước đo góc nổi tiếng Việt Nam và thế giới., Thước đo góc vuông mỏng với đế rộng Insize 4793-300 là sản phẩm nổi tiếng của hãng Insize, bạn có thể mua Thước đo góc vuông mỏng với đế rộng Insize 4793-300 giá rẻ nhất tại Super-mro chỉ với 3,080,000đ/Chiếc",['Khoảng đo:300x200mm'],"['Thương hiệu: Insize', 'Mã hệ thống: 1E197', 'Model hãng: 4793-300', 'Đơn vị: Chiếc']"
Thiết bị đo,Dụng cụ đo cơ khí,"Đế từ, khối V",,Đế từ cho chân đế từ Noga DG0038,https://super-mro.com/san-pham/de-tu-cho-chan-de-tu-noga-dg0038-a.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Niigata Seiki, Insize, Noga là những hãng sản xuất thiết bị công nghiệp, Đế từ, khối V nổi tiếng Việt Nam và thế giới., Đế từ cho chân đế từ Noga DG0038 là sản phẩm nổi tiếng của hãng Noga, bạn có thể mua Đế từ cho chân đế từ Noga DG0038 giá rẻ nhất tại Super-mro chỉ với 822,000đ/Cái",['Đặc điểm:- Đế từ tính DG0038 Noga - Lực từ: 1000 N - Ren trong : M8 - Kích thước đế từ tính (W x L x H): 50 x 75 x 55mm - Trọng lượng: 1.27 Kg'],"['Thương hiệu: Noga', 'Mã hệ thống: 8E4131', 'Model hãng: DG0038', 'Đơn vị: Cái']"
