Category title,Sub-category title,Class title,Sub-class title,Title names,Link items,Item description,Item tech,Item information
Thiết bị ngoài trời,Máy cắt và thiết bị làm vườn,Phụ kiện máy làm vườn,,Khay chứa cỏ um110d Makita 191N25-0,https://super-mro.com/san-pham/khay-chua-co-um110d-makita-191n25-0.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Makita, Milwaukee là những hãng sản xuất thiết bị công nghiệp, Phụ kiện máy làm vườn nổi tiếng Việt Nam và thế giới., Khay chứa cỏ um110d Makita 191N25-0 là sản phẩm nổi tiếng của hãng Makita, bạn có thể mua Khay chứa cỏ um110d Makita 191N25-0 giá rẻ nhất tại Super-mro chỉ với 177,000đ/Cái",[],"['Thương hiệu: Makita', 'Mã hệ thống: 8C2613', 'Model hãng: 191N25-0', 'Đơn vị: Cái']"
Thiết bị ngoài trời,Máy cắt và thiết bị làm vườn,Phụ kiện máy làm vườn,,Vỏ bảo vệ lưỡi tỉa hàng rào cho máy UH013G Makita 413B98-4 600mm,https://super-mro.com/san-pham/vo-bao-ve-luoi-tia-hang-rao-cho-may-uh013g-makita-413b98-4-600mm.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Makita, Milwaukee là những hãng sản xuất thiết bị công nghiệp, Phụ kiện máy làm vườn nổi tiếng Việt Nam và thế giới., Vỏ bảo vệ lưỡi tỉa hàng rào cho máy UH013G Makita 413B98-4 600mm là sản phẩm nổi tiếng của hãng Makita, bạn có thể mua Vỏ bảo vệ lưỡi tỉa hàng rào cho máy UH013G Makita 413B98-4 600mm giá rẻ nhất tại Super-mro chỉ với 141,000đ/Cái",['Quy cách:600mm'],"['Thương hiệu: Makita', 'Mã hệ thống: 8F2120', 'Model hãng: 413B98-4', 'Đơn vị: Cái']"
Thiết bị ngoài trời,Máy cắt và thiết bị làm vườn,Máy cưa xích,,Máy Cưa Xích Dùng Pin Makita Uc004Gz 40V Max,https://super-mro.com/san-pham/may-cua-xich-dung-pin-makita-uc004gz-40v-max.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Makita, Milwaukee, DCA, Dongcheng là những hãng sản xuất thiết bị công nghiệp, Máy cưa xích nổi tiếng Việt Nam và thế giới., Máy Cưa Xích Dùng Pin Makita Uc004Gz 40V Max là sản phẩm nổi tiếng của hãng Makita, bạn có thể mua Máy Cưa Xích Dùng Pin Makita Uc004Gz 40V Max giá rẻ nhất tại Super-mro chỉ với 6,989,000đ/Cái","['Điện áp pin:40V', 'Đường kính lưỡi cắt:350mm', 'Công suất:1400W', 'Tốc độ không tải:1490 mét/phút', 'Kích thước:266x194x227mm', 'Trọng lượng:3,8-4,7 kg', 'Phụ kiện đi kèm:Lam, vỏ lam, xích, cờ lê 13-16, kính bảo hộ, Chưa bao gồm pin và bộ sạc']","['Thương hiệu: Makita', 'Mã hệ thống: 1B9332', 'Model hãng: UC004GZ', 'Đơn vị: Cái', 'Bảo hành: 12 tháng']"
Thiết bị ngoài trời,"Máy quét, máy thổi bụi và máy thổi lá",,,Ly định lượng cho máy DUS158 Makita PR00000317,https://super-mro.com/san-pham/ly-dinh-luong-cho-may-dus158-makita-pr00000317.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Makita là những hãng sản xuất thiết bị công nghiệp, Máy quét, máy thổi bụi và máy thổi lá nổi tiếng Việt Nam và thế giới., Ly định lượng cho máy DUS158 Makita PR00000317 là sản phẩm nổi tiếng của hãng Makita, bạn có thể mua Ly định lượng cho máy DUS158 Makita PR00000317 giá rẻ nhất tại Super-mro chỉ với 57,000đ/Cái",[],"['Thương hiệu: Makita', 'Mã hệ thống: 8F2410', 'Model hãng: PR00000317', 'Đơn vị: Cái']"
Thiết bị ngoài trời,Máy cắt và thiết bị làm vườn,Phụ kiện máy làm vườn,,Vỏ bảo vệ lưỡi tỉa hàng rào cho máy UH013G Makita 413B99-2 750mm,https://super-mro.com/san-pham/vo-bao-ve-luoi-tia-hang-rao-cho-may-uh013g-makita-413b99-2-750mm.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Makita, Milwaukee là những hãng sản xuất thiết bị công nghiệp, Phụ kiện máy làm vườn nổi tiếng Việt Nam và thế giới., Vỏ bảo vệ lưỡi tỉa hàng rào cho máy UH013G Makita 413B99-2 750mm là sản phẩm nổi tiếng của hãng Makita, bạn có thể mua Vỏ bảo vệ lưỡi tỉa hàng rào cho máy UH013G Makita 413B99-2 750mm giá rẻ nhất tại Super-mro chỉ với 169,000đ/Cái",['Quy cách:750mm'],"['Thương hiệu: Makita', 'Mã hệ thống: 8F2121', 'Model hãng: 413B99-2', 'Đơn vị: Cái']"
Thiết bị ngoài trời,"Máy quét, máy thổi bụi và máy thổi lá",Máy thổi lá,,Thân máy thổi bụi lá dùng pin DEWALT DCM562N-KR 18V,https://super-mro.com/san-pham/than-may-thoi-bui-la-dung-pin-dewalt-dcm562n-kr-18v.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Dewalt, Makita là những hãng sản xuất thiết bị công nghiệp, Máy thổi lá nổi tiếng Việt Nam và thế giới., Thân máy thổi bụi lá dùng pin DEWALT DCM562N-KR 18V là sản phẩm nổi tiếng của hãng Dewalt, bạn có thể mua Thân máy thổi bụi lá dùng pin DEWALT DCM562N-KR 18V giá rẻ nhất tại Super-mro chỉ với 2,070,000đ/Cái","['Điện áp pin:18V', 'Đặc điểm:200km/h']","['Thương hiệu: Dewalt', 'Mã hệ thống: 1B9526', 'Model hãng: DCM562N-KR', 'Đơn vị: Cái', 'Bảo hành: 3 năm']"
Thiết bị ngoài trời,Máy cắt và thiết bị làm vườn,Phụ kiện máy làm vườn,,Lưỡi tỉa hàng rào Makita 195769-0 520mm,https://super-mro.com/san-pham/luoi-tia-hang-rao-makita-195769-0-520mm.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Makita, Milwaukee là những hãng sản xuất thiết bị công nghiệp, Phụ kiện máy làm vườn nổi tiếng Việt Nam và thế giới., Lưỡi tỉa hàng rào Makita 195769-0 520mm là sản phẩm nổi tiếng của hãng Makita, bạn có thể mua Lưỡi tỉa hàng rào Makita 195769-0 520mm giá rẻ nhất tại Super-mro chỉ với 863,000đ/Cái",['Quy cách:520mm'],"['Thương hiệu: Makita', 'Mã hệ thống: 8C5037', 'Model hãng: 195769-0', 'Đơn vị: Cái']"
Thiết bị ngoài trời,Máy cắt và thiết bị làm vườn,Phụ kiện máy làm vườn,,Lưỡi thay thế cho lưỡi cắt cỏ Makita 191D47-0 4 lưỡi 460mm,https://super-mro.com/san-pham/luoi-thay-the-cho-luoi-cat-co-makita-191d47-0-4-luoi-460-4-cai.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Makita, Milwaukee là những hãng sản xuất thiết bị công nghiệp, Phụ kiện máy làm vườn nổi tiếng Việt Nam và thế giới., Lưỡi thay thế cho lưỡi cắt cỏ Makita 191D47-0 4 lưỡi 460mm là sản phẩm nổi tiếng của hãng Makita, bạn có thể mua Lưỡi thay thế cho lưỡi cắt cỏ Makita 191D47-0 4 lưỡi 460mm giá rẻ nhất tại Super-mro chỉ với 651,000đ/Cái",['Quy cách:4 lưỡi 460mm'],"['Thương hiệu: Makita', 'Mã hệ thống: 8C5025', 'Model hãng: 191D47-0', 'Đơn vị: Cái']"
Thiết bị ngoài trời,Máy cắt và thiết bị làm vườn,Phụ kiện máy làm vườn,,Chắn bảo vệ Makita 170043110N,https://super-mro.com/san-pham/chan-bao-ve-makita-170043110n.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Makita, Milwaukee là những hãng sản xuất thiết bị công nghiệp, Phụ kiện máy làm vườn nổi tiếng Việt Nam và thế giới., Chắn bảo vệ Makita 170043110N là sản phẩm nổi tiếng của hãng Makita, bạn có thể mua Chắn bảo vệ Makita 170043110N giá rẻ nhất tại Super-mro chỉ với 177,000đ/Cái",[],"['Thương hiệu: Makita', 'Mã hệ thống: 8C4527', 'Model hãng: 170043110N', 'Đơn vị: Cái']"
Thiết bị ngoài trời,Máy cắt và thiết bị làm vườn,Phụ kiện máy làm vườn,,Lưỡi cắt cỏ 330 cho máy DLM330 Makita GB00000042,https://super-mro.com/san-pham/luoi-cat-co-330-cho-may-dlm330-makita-gb00000042.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Makita, Milwaukee là những hãng sản xuất thiết bị công nghiệp, Phụ kiện máy làm vườn nổi tiếng Việt Nam và thế giới., Lưỡi cắt cỏ 330 cho máy DLM330 Makita GB00000042 là sản phẩm nổi tiếng của hãng Makita, bạn có thể mua Lưỡi cắt cỏ 330 cho máy DLM330 Makita GB00000042 giá rẻ nhất tại Super-mro chỉ với 149,000đ/Cái",['Quy cách:330mm'],"['Thương hiệu: Makita', 'Mã hệ thống: 8F2394', 'Model hãng: GB00000042', 'Đơn vị: Cái']"
