Category title,Sub-category title,Class title,Sub-class title,Title names,Link items,Item description,Item tech,Item information
Văn phòng phẩm,"Biểu mẫu, phiếu","Phiếu thu, phiếu chi",,Phiếu chi Carbon 2 liên,https://super-mro.com/san-pham/phieu-chi-carbon-2-lien.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Toptul là những hãng sản xuất thiết bị công nghiệp, Phiếu thu, phiếu chi nổi tiếng Việt Nam và thế giới., Phiếu chi Carbon 2 liên là sản phẩm nổi tiếng của hãng Toptul, bạn có thể mua Phiếu chi Carbon 2 liên giá rẻ nhất tại Super-mro chỉ với 15,709đ/Quyển",[],"['Thương hiệu: Toptul', 'Mã hệ thống: HU917', 'Đơn vị: Quyển']"
Văn phòng phẩm,"File, bìa",Túi khuy,,Túi khuy Plus khổ A,https://super-mro.com/san-pham/HVS06-tui-khuy-plus-kho-a.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Plus, HyPhen, Khác, XIFU là những hãng sản xuất thiết bị công nghiệp, Túi khuy nổi tiếng Việt Nam và thế giới., Túi khuy Plus khổ A là sản phẩm nổi tiếng của hãng Plus, bạn có thể mua Túi khuy Plus khổ A giá rẻ nhất tại Super-mro chỉ với 5,596đ/Chiếc","['Khổ:A', 'Chất liệu:Nhựa dẻo']","['Thương hiệu: Plus', 'Mã hệ thống: HVS06', 'Đơn vị: Chiếc', 'Xuất xứ: Trung Quốc']"
Văn phòng phẩm,Giấy văn phòng,Giấy nhắn việc,,Giấy nhắn việc Nice People 3*4,https://super-mro.com/san-pham/1J057-giay-nhan-viec-nice-people-3-4.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của pronoti, NicePeople là những hãng sản xuất thiết bị công nghiệp, Giấy nhắn việc nổi tiếng Việt Nam và thế giới., Giấy nhắn việc Nice People 3*4 là sản phẩm nổi tiếng của hãng NicePeople, bạn có thể mua Giấy nhắn việc Nice People 3*4 giá rẻ nhất tại Super-mro chỉ với 9,270đ/Tập","['Cỡ:3*4', 'Màu:vàng']","['Thương hiệu: NicePeople', 'Mã hệ thống: 1J057', 'Model hãng: SN657', 'Đơn vị: Tập', 'Xuất xứ: Đài loan']"
Văn phòng phẩm,Bút,"Bút lông dầu, bút ghi đĩa, bút sơn",,Bút ghi đĩa Thiên LongPM04 CeeDee Đen(10c/hộp),https://super-mro.com/san-pham/but-ghi-dia-thien-longpm04-ceedee-den10c-hop.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Thiên Long là những hãng sản xuất thiết bị công nghiệp, Bút lông dầu, bút ghi đĩa, bút sơn nổi tiếng Việt Nam và thế giới., Bút ghi đĩa Thiên LongPM04 CeeDee Đen(10c/hộp) là sản phẩm nổi tiếng của hãng Thiên Long, bạn có thể mua Bút ghi đĩa Thiên LongPM04 CeeDee Đen(10c/hộp) giá rẻ nhất tại Super-mro chỉ với 8,935đ/Chiếc","['Ngòi bút (mm):a', 'Màu mực:a', 'Khối lượng mực (g):a', 'Số đầu viết:a']","['Thương hiệu: Thiên Long', 'Mã hệ thống: 5J009', 'Đơn vị: Chiếc']"
Văn phòng phẩm,"Băng dính, hồ dán, keo dán",Băng dính 2 mặt,,Băng dính 2 mặt xốp 4.8cm xanh,https://super-mro.com/san-pham/HUC28-bang-dinh-2-mat-xop-4-8cm-xanh.html,"Băng dính 2 mặt xốp 4.8cm xanh với khả năng bám dính và tính đàn hồi tốt được sử dụng trên nhiều bề mặt như nhôm, nhựa, kính, gỗ,.... Băng dính 2 mặt được ưa chuộn để dán các công trình trong nhà hoặc ngoài trời vì có thể thay thể được 1 số loại keo, dây buộc, đinh vít.
Super MRO phân phối và cung cấp sản phẩm Băng dính 2 mặt xốp 4.8cm xanh chính hãng tại Việt Nam., Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Khác là những hãng sản xuất thiết bị công nghiệp, Băng dính 2 mặt nổi tiếng Việt Nam và thế giới., Băng dính 2 mặt xốp 4.8cm xanh là sản phẩm nổi tiếng của hãng Khác, bạn có thể mua Băng dính 2 mặt xốp 4.8cm xanh giá rẻ nhất tại Super-mro chỉ với 16,691đ/Cuộn","['Đặc điểm:Gồm cả 2 mặt đều có khả năng dính, với độ tính cao và khả năng đàn hồi tốt.', 'Bề rộng:4.8 cm', 'Nhiệt độ thấp nhất:3°C', 'Nhiệt độ cao nhất:120°C', 'Màu sắc:Xanh']","['Thương hiệu: Khác', 'Mã hệ thống: HUC28', 'Đơn vị: Cuộn', 'Xuất xứ: Việt Nam']"
Văn phòng phẩm,Tạp phẩm,Tạp phẩm khác,,Miếng cước rửa chén lớn,https://super-mro.com/san-pham/mieng-cuoc-rua-chen-lon.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Deli, Queen, Khác, POLAR BEAR, BOROSILICATE, X'traseal, Nhật Minh, MEIZAN là những hãng sản xuất thiết bị công nghiệp, Tạp phẩm khác nổi tiếng Việt Nam và thế giới., Miếng cước rửa chén lớn là sản phẩm nổi tiếng của hãng Khác, bạn có thể mua Miếng cước rửa chén lớn giá rẻ nhất tại Super-mro chỉ với Liên hệ/Cái",[],"['Thương hiệu: Khác', 'Mã hệ thống: 8C9519', 'Đơn vị: Cái']"
Văn phòng phẩm,"File, bìa","File tầng, khay tầng",,Khay 3 tầng sắt Deli 9181,https://super-mro.com/san-pham/HW348-khay-3-tang-sat-deli-9181.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Deli, COMIX là những hãng sản xuất thiết bị công nghiệp, File tầng, khay tầng nổi tiếng Việt Nam và thế giới., Khay 3 tầng sắt Deli 9181 là sản phẩm nổi tiếng của hãng Deli, bạn có thể mua Khay 3 tầng sắt Deli 9181 giá rẻ nhất tại Super-mro chỉ với 274,909đ/Chiếc",['Chất liệu:sắt'],"['Thương hiệu: Deli', 'Mã hệ thống: HW348', 'Model hãng: 9181', 'Đơn vị: Chiếc']"
Văn phòng phẩm,Tạp phẩm,Nước giặt,,Nước xả vải đậm đặc Snowee 1.8Kg,https://super-mro.com/san-pham/nuoc-xa-vai-dam-dac-snowee-1-8kg.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của POLAR BEAR, Caremore, Snowee, Izana là những hãng sản xuất thiết bị công nghiệp, Nước giặt nổi tiếng Việt Nam và thế giới., Nước xả vải đậm đặc Snowee 1.8Kg là sản phẩm nổi tiếng của hãng Snowee, bạn có thể mua Nước xả vải đậm đặc Snowee 1.8Kg giá rẻ nhất tại Super-mro chỉ với 109,000đ/Chai","['Loại:Đậm đặc', 'Đặc điểm:6chai/Thùng']","['Thương hiệu: Snowee', 'Mã hệ thống: VL220211', 'Model hãng: VL220211', 'Đơn vị: Chai']"
Văn phòng phẩm,Giấy văn phòng,Giấy nhắn việc,,Giấy nhắn việc Nice People 3*3,https://super-mro.com/san-pham/HU976-giay-nhan-viec-nice-people-3-3.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của pronoti, NicePeople là những hãng sản xuất thiết bị công nghiệp, Giấy nhắn việc nổi tiếng Việt Nam và thế giới., Giấy nhắn việc Nice People 3*3 là sản phẩm nổi tiếng của hãng NicePeople, bạn có thể mua Giấy nhắn việc Nice People 3*3 giá rẻ nhất tại Super-mro chỉ với 7,720đ/Tập","['Cỡ:3*3', 'Màu:vàng']","['Thương hiệu: NicePeople', 'Mã hệ thống: HU976', 'Model hãng: SN654', 'Đơn vị: Tập', 'Xuất xứ: Đài loan']"
Văn phòng phẩm,Dụng cụ văn phòng,"Kẹp đen, kẹp mầu",,Kẹp màu 15 mm,https://super-mro.com/san-pham/HUA69-dap-ghim-100-to-kwtrio-50sa.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Sunwood, ECHO Double là những hãng sản xuất thiết bị công nghiệp, Kẹp đen, kẹp mầu nổi tiếng Việt Nam và thế giới., Kẹp màu 15 mm là sản phẩm nổi tiếng của hãng Sunwood, bạn có thể mua Kẹp màu 15 mm giá rẻ nhất tại Super-mro chỉ với 40,000đ/Hộp",['Màu sắc:Nhiều màu'],"['Thương hiệu: Kw-Trio', 'Mã hệ thống: HUA69', 'Model hãng: 50SA', 'Đơn vị: Cái', 'Xuất xứ: Đài loan']"
Văn phòng phẩm,Dụng cụ văn phòng,Dập ghim,,Dập ghim 100 tờ KWTrio 50SA,https://super-mro.com/san-pham/5L007-kep-mau-15-mm.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Deli, Plus, Kw-Trio là những hãng sản xuất thiết bị công nghiệp, Dập ghim nổi tiếng Việt Nam và thế giới., Dập ghim 100 tờ KWTrio 50SA là sản phẩm nổi tiếng của hãng Kw-Trio, bạn có thể mua Dập ghim 100 tờ KWTrio 50SA giá rẻ nhất tại Super-mro chỉ với 360,000đ/Cái","['Số trang tối đa:100 tờ', 'Ruột ghim:23/8, 23/10, 23/13']","['Thương hiệu: Sunwood', 'Mã hệ thống: 5L007', 'Model hãng: SW2026', 'Đơn vị: Hộp', 'Xuất xứ: Trung Quốc']"
Văn phòng phẩm,Sổ,Sổ hành chính,Sổ công văn đến,Sổ công văn đến 240 Trang,https://super-mro.com/san-pham/9K022-so-cong-van-den-240-trang.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Hải tiến là những hãng sản xuất thiết bị công nghiệp, Sổ công văn đến nổi tiếng Việt Nam và thế giới., Sổ công văn đến 240 Trang là sản phẩm nổi tiếng của hãng Hải tiến, bạn có thể mua Sổ công văn đến 240 Trang giá rẻ nhất tại Super-mro chỉ với 41,236đ/Quyển","['Loại:240 trang', 'Số trang:240 trang', 'Kích thước:210 x 300mm']","['Thương hiệu: Hải tiến', 'Mã hệ thống: 9K022', 'Model hãng: 6058', 'Đơn vị: Quyển', 'Xuất xứ: Việt Nam']"
Văn phòng phẩm,Tạp phẩm,Nước lau sàn,,Nước lau sàn Gift 4L (Can),https://super-mro.com/san-pham/sp005103-nuoc-lau-san-gift-4l-can.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Gift, Sunlight, POLAR BEAR, Kliin là những hãng sản xuất thiết bị công nghiệp, Nước lau sàn nổi tiếng Việt Nam và thế giới., Nước lau sàn Gift 4L (Can) là sản phẩm nổi tiếng của hãng Gift, bạn có thể mua Nước lau sàn Gift 4L (Can) giá rẻ nhất tại Super-mro chỉ với 105,000đ/Can","['Đặc điểm:Dịu nhẹ, an toàn với chiết xuất thiên nhiên. Độ pH thấp (=7) an toàn ngay cả với làn da nhạy cảm. Công thức độc đáo hiệu quả có thể đuổi côn trùng, không gây hại cho sức khỏe', 'Dung tích:4 lít']","['Thương hiệu: Gift', 'Mã hệ thống: SP005103', 'Đơn vị: Can', 'Xuất xứ: Việt Nam']"
Văn phòng phẩm,"File, bìa",Trình ký,,Trình ký da loại đẹp,https://super-mro.com/san-pham/HUE44-trinh-ky-da-loai-dep.html,", Đại siêu thị Vật tư phụ tùng SUPER-MRO.COM hơn 10 năm kinh nghiệm trong ngành dụng cụ cầm tay, vật tư phụ tùng, đại diện phân phối của Thiên Long, Index, Khác, Thanh Lam là những hãng sản xuất thiết bị công nghiệp, Trình ký nổi tiếng Việt Nam và thế giới., Trình ký da loại đẹp là sản phẩm nổi tiếng của hãng Khác, bạn có thể mua Trình ký da loại đẹp giá rẻ nhất tại Super-mro chỉ với 67,745đ/Chiếc",['Khóa:Da tổng hợp'],"['Thương hiệu: Khác', 'Mã hệ thống: HUE44', 'Đơn vị: Chiếc']"
